FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.125000000,0.410193920,0.247706428,0.558823526
0.125787579,0.410384148,0.247706428,0.558823526
0.126575158,0.410384148,0.247706428,0.558823526
0.127362736,0.410384148,0.247706428,0.558823526
0.128150315,0.410384148,0.247706428,0.558823526
0.128937894,0.410384148,0.247706428,0.558823526
0.129725473,0.410384148,0.247706428,0.558823526
0.130513051,0.410384148,0.247706428,0.558823526
0.131300630,0.410384148,0.247706428,0.558823526
0.132088209,0.410384148,0.247706428,0.558823526
0.132875788,0.410384148,0.247706428,0.558823526
0.133663366,0.410384148,0.247706428,0.558823526
0.134450945,0.410384148,0.247706428,0.558823526
0.135238524,0.410384148,0.247706428,0.558823526
0.136026103,0.410384148,0.247706428,0.558823526
0.136813681,0.415555358,0.253731340,0.564705908
0.137601260,0.415555358,0.253731340,0.564705908
0.138388839,0.415555358,0.253731340,0.564705908
0.139176418,0.415555358,0.253731340,0.564705908
0.139963996,0.415555358,0.253731340,0.564705908
0.140751575,0.415555358,0.253731340,0.564705908
0.141539154,0.415555358,0.253731340,0.564705908
0.142326733,0.415555358,0.253731340,0.564705908
0.143114311,0.415555358,0.253731340,0.564705908
0.143901890,0.415555358,0.253731340,0.564705908
0.144689469,0.415555358,0.253731340,0.564705908
0.145477048,0.415555358,0.253731340,0.564705908
0.146264626,0.415555358,0.253731340,0.564705908
0.147052205,0.415555358,0.253731340,0.564705908
0.147839784,0.420229077,0.282442749,0.574257433
0.148627363,0.420229077,0.282442749,0.574257433
0.149414941,0.420229077,0.282442749,0.574257433
0.150202520,0.420229077,0.282442749,0.574257433
0.150990099,0.420229077,0.282442749,0.574257433
0.151777678,0.420229077,0.282442749,0.574257433
0.152565257,0.420229077,0.282442749,0.574257433
0.153352835,0.420229077,0.282442749,0.574257433
0.154140414,0.420229077,0.282442749,0.574257433
0.154927993,0.420229077,0.282442749,0.574257433
0.155715572,0.420229077,0.282442749,0.574257433
0.156503150,0.420229077,0.282442749,0.574257433
0.157290729,0.420229077,0.282442749,0.574257433
0.158078308,0.420229077,0.282442749,0.574257433
0.158865887,0.420229077,0.282442749,0.574257433
0.159653465,0.423924327,0.285714298,0.577319562
0.160441044,0.423924327,0.285714298,0.577319562
0.161228623,0.423924327,0.285714298,0.577319562
0.162016202,0.423924327,0.285714298,0.577319562
0.162803780,0.423924327,0.285714298,0.577319562
0.163591359,0.423924327,0.285714298,0.577319562
0.164378938,0.423924327,0.285714298,0.577319562
0.165166517,0.423924327,0.285714298,0.577319562
0.165954095,0.423924327,0.285714298,0.577319562
0.166741674,0.423924327,0.285714298,0.577319562
0.167529253,0.423924327,0.285714298,0.577319562
0.168316832,0.423924327,0.285714298,0.577319562
0.169104410,0.423924327,0.285714298,0.577319562
0.169891989,0.423924327,0.285714298,0.577319562
0.170679568,0.428130239,0.290322572,0.579545438
0.171467147,0.428130239,0.290322572,0.579545438
0.172254725,0.428130239,0.290322572,0.579545438
0.173042304,0.428130239,0.290322572,0.579545438
0.173829883,0.428130239,0.290322572,0.579545438
0.174617462,0.428130239,0.290322572,0.579545438
0.175405041,0.428130239,0.290322572,0.579545438
0.176192619,0.428130239,0.290322572,0.579545438
0.176980198,0.428130239,0.290322572,0.579545438
0.177767777,0.428130239,0.290322572,0.579545438
0.178555356,0.428130239,0.290322572,0.579545438
0.179342934,0.428130239,0.290322572,0.579545438
0.180130513,0.428130239,0.290322572,0.579545438
0.180918092,0.428130239,0.290322572,0.579545438
0.181705671,0.428130239,0.290322572,0.579545438
0.182493249,0.431810558,0.294642866,0.582417607
0.183280828,0.431810558,0.294642866,0.582417607
0.184068407,0.431810558,0.294642866,0.582417607
0.184855986,0.431810558,0.294642866,0.582417607
0.185643564,0.431810558,0.294642866,0.582417607
0.186431143,0.431810558,0.294642866,0.582417607
0.187218722,0.431810558,0.294642866,0.582417607
0.188006301,0.431810558,0.294642866,0.582417607
0.188793879,0.431810558,0.294642866,0.582417607
0.189581458,0.431810558,0.294642866,0.582417607
0.190369037,0.431810558,0.294642866,0.582417607
0.191156616,0.431810558,0.294642866,0.582417607
0.191944194,0.431810558,0.294642866,0.582417607
0.192731773,0.431810558,0.294642866,0.582417607
0.193519352,0.435236514,0.303030312,0.583333313
0.194306931,0.435236514,0.303030312,0.583333313
0.195094509,0.435236514,0.303030312,0.583333313
0.195882088,0.435236514,0.303030312,0.583333313
0.196669667,0.435236514,0.303030312,0.583333313
0.197457246,0.435236514,0.303030312,0.583333313
0.198244824,0.435236514,0.303030312,0.583333313
0.199032403,0.435236514,0.303030312,0.583333313
0.199819982,0.435236514,0.303030312,0.583333313
0.200607561,0.435236514,0.303030312,0.583333313
0.201395140,0.435236514,0.303030312,0.583333313
0.202182718,0.435236514,0.303030312,0.583333313
0.202970297,0.435236514,0.303030312,0.583333313
0.203757876,0.435236514,0.303030312,0.583333313
0.204545455,0.435236514,0.303030312,0.583333313
0.205333033,0.438406616,0.305084735,0.584158421
0.206120612,0.438406616,0.305084735,0.584158421
0.206908191,0.438406616,0.305084735,0.584158421
0.207695770,0.438406616,0.305084735,0.584158421
0.208483348,0.438406616,0.305084735,0.584158421
0.209270927,0.438406616,0.305084735,0.584158421
0.210058506,0.438406616,0.305084735,0.584158421
0.210846085,0.438406616,0.305084735,0.584158421
0.211633663,0.438406616,0.305084735,0.584158421
0.212421242,0.438406616,0.305084735,0.584158421
0.213208821,0.438406616,0.305084735,0.584158421
0.213996400,0.438406616,0.305084735,0.584158421
0.214783978,0.438406616,0.305084735,0.584158421
0.215571557,0.438406616,0.305084735,0.584158421
0.216359136,0.441250116,0.307086617,0.585858583
0.217146715,0.441250116,0.307086617,0.585858583
0.217934293,0.441250116,0.307086617,0.585858583
0.218721872,0.441250116,0.307086617,0.585858583
0.219509451,0.441250116,0.307086617,0.585858583
0.220297030,0.441250116,0.307086617,0.585858583
0.221084608,0.441250116,0.307086617,0.585858583
0.221872187,0.441250116,0.307086617,0.585858583
0.222659766,0.441250116,0.307086617,0.585858583
0.223447345,0.441250116,0.307086617,0.585858583
0.224234923,0.441250116,0.307086617,0.585858583
0.225022502,0.441250116,0.307086617,0.585858583
0.225810081,0.441250116,0.307086617,0.585858583
0.226597660,0.441250116,0.307086617,0.585858583
0.227385239,0.444102019,0.309278339,0.590909064
0.228172817,0.444102019,0.309278339,0.590909064
0.228960396,0.444102019,0.309278339,0.590909064
0.229747975,0.444102019,0.309278339,0.590909064
0.230535554,0.444102019,0.309278339,0.590909064
0.231323132,0.444102019,0.309278339,0.590909064
0.232110711,0.444102019,0.309278339,0.590909064
0.232898290,0.444102019,0.309278339,0.590909064
0.233685869,0.444102019,0.309278339,0.590909064
0.234473447,0.444102019,0.309278339,0.590909064
0.235261026,0.444102019,0.309278339,0.590909064
0.236048605,0.444102019,0.309278339,0.590909064
0.236836184,0.444102019,0.309278339,0.590909064
0.237623762,0.444102019,0.309278339,0.590909064
0.238411341,0.444102019,0.309278339,0.590909064
0.239198920,0.447154790,0.314285725,0.591397822
0.239986499,0.447154790,0.314285725,0.591397822
0.240774077,0.447154790,0.314285725,0.591397822
0.241561656,0.447154790,0.314285725,0.591397822
0.242349235,0.447154790,0.314285725,0.591397822
0.243136814,0.447154790,0.314285725,0.591397822
0.243924392,0.447154790,0.314285725,0.591397822
0.244711971,0.447154790,0.314285725,0.591397822
0.245499550,0.447154790,0.314285725,0.591397822
0.246287129,0.447154790,0.314285725,0.591397822
0.247074707,0.447154790,0.314285725,0.591397822
0.247862286,0.447154790,0.314285725,0.591397822
0.248649865,0.447154790,0.314285725,0.591397822
0.249437444,0.447154790,0.314285725,0.591397822
0.250225023,0.449843943,0.316176474,0.592233002
0.251012601,0.449843943,0.316176474,0.592233002
0.251800180,0.449843943,0.316176474,0.592233002
0.252587759,0.449843943,0.316176474,0.592233002
0.253375338,0.449843943,0.316176474,0.592233002
0.254162916,0.449843943,0.316176474,0.592233002
0.254950495,0.449843943,0.316176474,0.592233002
0.255738074,0.449843943,0.316176474,0.592233002
0.256525653,0.449843943,0.316176474,0.592233002
0.257313231,0.449843943,0.316176474,0.592233002
0.258100810,0.449843943,0.316176474,0.592233002
0.258888389,0.449843943,0.316176474,0.592233002
0.259675968,0.449843943,0.316176474,0.592233002
0.260463546,0.449843943,0.316176474,0.592233002
0.261251125,0.449843943,0.316176474,0.592233002
0.262038704,0.451834530,0.316176474,0.596153855
0.262826283,0.451834530,0.316176474,0.596153855
0.263613861,0.451834530,0.316176474,0.596153855
0.264401440,0.451834530,0.316176474,0.596153855
0.265189019,0.451834530,0.316176474,0.596153855
0.265976598,0.451834530,0.316176474,0.596153855
0.266764176,0.451834530,0.316176474,0.596153855
0.267551755,0.451834530,0.316176474,0.596153855
0.268339334,0.451834530,0.316176474,0.596153855
0.269126913,0.451834530,0.316176474,0.596153855
0.269914491,0.451834530,0.316176474,0.596153855
0.270702070,0.451834530,0.316176474,0.596153855
0.271489649,0.451834530,0.316176474,0.596153855
0.272277228,0.451834530,0.316176474,0.596153855
0.273064806,0.453998327,0.321739137,0.596491218
0.273852385,0.453998327,0.321739137,0.596491218
0.274639964,0.453998327,0.321739137,0.596491218
0.275427543,0.453998327,0.321739137,0.596491218
0.276215122,0.453998327,0.321739137,0.596491218
0.277002700,0.453998327,0.321739137,0.596491218
0.277790279,0.453998327,0.321739137,0.596491218
0.278577858,0.453998327,0.321739137,0.596491218
0.279365437,0.453998327,0.321739137,0.596491218
0.280153015,0.453998327,0.321739137,0.596491218
0.280940594,0.453998327,0.321739137,0.596491218
0.281728173,0.453998327,0.321739137,0.596491218
0.282515752,0.453998327,0.321739137,0.596491218
0.283303330,0.453998327,0.321739137,0.596491218
0.284090909,0.454026192,0.321739137,0.596491218
0.284878488,0.456428498,0.324561417,0.597701132
0.285666067,0.456428498,0.324561417,0.597701132
0.286453645,0.456428498,0.324561417,0.597701132
0.287241224,0.456428498,0.324561417,0.597701132
0.288028803,0.456428498,0.324561417,0.597701132
0.288816382,0.456428498,0.324561417,0.597701132
0.289603960,0.456428498,0.324561417,0.597701132
0.290391539,0.456428498,0.324561417,0.597701132
0.291179118,0.456428498,0.324561417,0.597701132
0.291966697,0.456428498,0.324561417,0.597701132
0.292754275,0.456428498,0.324561417,0.597701132
0.293541854,0.456428498,0.324561417,0.597701132
0.294329433,0.456428498,0.324561417,0.597701132
0.295117012,0.456428498,0.324561417,0.597701132
0.295904590,0.458952963,0.328358203,0.600000024
0.296692169,0.458952963,0.328358203,0.600000024
0.297479748,0.458952963,0.328358203,0.600000024
0.298267327,0.458952963,0.328358203,0.600000024
0.299054905,0.458952963,0.328358203,0.600000024
